順位,1986年(第1回),1987年(第2回),1988年(第3回),1989年(第4回),1990年(第5回),1991年(第6回),1992年(第7回),1993年(第8回),1994年(第9回),1995年(第10回),1996年(第11回),1997年(第12回),1998年(第13回),1999年(第14回),2000年(第15回),2001年(第16回),2002年(第17回),2003年(第18回),2004年(第19回),2005年(第20回),2006年(第21回),2007年(第22回),2008年(第23回),2009年(第24回),2010年(第25回),2011年(第26回),2012年(第27回),2013年(第28回),2014年(第29回),2015年(第30回),2016年(第31回),2017年(第32回),2018年(第33回),2019年(第34回),2020年(第35回),2021年(第36回),2022年(第37回),2023年(第38回),2024年(第39回),2025年(第40回)
1位,ザシキブタ,マロンクリーム,みんなのたあ坊,みんなのたあ坊,けろけろけろっぴ,ポチャッコ,ポチャッコ,ポチャッコ,ポチャッコ,ポチャッコ,バッドばつ丸,ポムポムプリン,ハローキティ,ハローキティ,ハローキティ,ハローキティ,ハローキティ,ハローキティ,ハローキティ,ハローキティ,ハローキティ,ハローキティ,ハローキティ,ハローキティ,マイメロディ,マイメロディ,ハローキティ,ハローキティ,マイメロディ,ポムポムプリン,ポムポムプリン,シナモロール,シナモロール,ハローキティ,シナモロール,シナモロール,シナモロール,シナモロール,シナモロール,ポムポムプリン
2位,スヌーピー,スヌーピー,スヌーピー,けろけろけろっぴ,みんなのたあ坊,けろけろけろっぴ,るるる学園,パタパタペッピー,パタパタペッピー,バッドばつ丸,ポチャッコ,ハローキティ,マイメロディ,マイメロディ,マイメロディ,マイメロディ,マイメロディ,リトルツインスターズ,リトルツインスターズ,チャーミーキティ,チャーミーキティ,チャーミーキティ,マイメロディ,リトルツインスターズ,リトルツインスターズ,リトルツインスターズ,マイメロディ,マイメロディ,ハローキティ,シンガンクリムゾンズ,シナモロール,ポムポムプリン,ポムポムプリン,シナモロール,ポムポムプリン,ポムポムプリン,ポムポムプリン,ポムポムプリン,ポチャッコ,シナモロール
3位,ハンギョドン,みんなのたあ坊,ぽこぽん日記,スヌーピー,マロンクリーム,マロンクリーム,ザ ボードビルデュオ,るるる学園,バッドばつ丸,パタパタペッピー,パタパタペッピー,バッドばつ丸,ポムポムプリン,ポムポムプリン,ポムポムプリン,ポムポムプリン,ディアダニエル,シナモロール,シナモロール,シナモロール,シナモロール,マイメロディ,チャーミーキティ,マイメロディ,ハローキティ,ハローキティ,リトルツインスターズ,ポムポムプリン,リトルツインスターズ,シナモロール,マイメロディ,マイメロディ,yoshikitty,ポムポムプリン,ポチャッコ,ポチャッコ,クロミ,クロミ,クロミ,ポチャッコ
4位,タキシードサム,ぽこぽん日記,フィリックスザキャット,マロンクリーム,スヌーピー,みんなのたあ坊,マロンクリーム,おさるのもんきち,るるる学園,ハローキティ,ハローキティ,ポチャッコ,リトルツインスターズ,リトルツインスターズ,ディアダニエル,ディアダニエル,リトルツインスターズ,マイメロディ,マイメロディ,リトルツインスターズ,マイメロディ,リトルツインスターズ,リトルツインスターズ,チャーミーキティ,ポムポムプリン,ポムポムプリン,シナモロール,リトルツインスターズ,ポムポムプリン,ぐでたま,ぐでたま,ハローキティ,ハローキティ,マイメロディ,マイメロディ,マイメロディ,ポチャッコ,ポチャッコ,ポムポムプリン,クロミ
5位,ニャニィニュニェニョン,ブラウニーズストーリー,ノラネコランド,ぽこぽん日記,ぽこぽん日記,スヌーピー,あひるのペックル,ザ ボードビルデュオ,ミスターベアーズドリーム,ミスターベアーズドリーム,ミスターベアーズドリーム,マイメロディ,パティ＆ジミー,ディアダニエル,リトルツインスターズ,リトルツインスターズ,ポムポムプリン,ポムポムプリン,ディアダニエル,マイメロディ,クロミ,シナモロール,シュガーバニーズ,シュガーバニーズ,クロミ,シナモロール,ポムポムプリン,シナモロール,シナモロール,マイメロディ,ハローキティ,ぐでたま,マイメロディ,ポチャッコ,ハローキティ,クロミ,マイメロディ,ハローキティ,ハローキティ,ハローキティ
6位,ザ ボードビルデュオ,―,ハローキティ,ハローキティ,ポチャッコ,あひるのペックル,スヌーピー,スヌーピー,スヌーピー,るるる学園,マロンクリーム,パタパタペッピー,ポチャッコ,コロコロクリリン,コロコロクリリン,コロコロクリリン,ポムポムマフィン,ディアダニエル,ウサハナ,ディアダニエル,リトルツインスターズ,クロミ,クロミ,シナモロール,シナモロール,クロミ,ジュエルペット,ターフィー,ゴーエクスパンダ,プラズマジカ,リトルツインスターズ,リトルツインスターズ,ポチャッコ,リトルツインスターズ,yoshikitty,ハローキティ,ハローキティ,マイメロディ,マイメロディ,マイメロディ
7位,―,ザシキブタ,マロンクリーム,ノラネコランド,ザ ボードビルデュオ,ザ ボードビルデュオ,けろけろけろっぴ,ハローキティ,おさるのもんきち,スヌーピー,スヌーピー,リトルツインスターズ,バッドばつ丸,パティ＆ジミー,パティ＆ジミー,バッドばつ丸,コロコロクリリン,ウサハナ,パティ＆ジミー,シュガーバニーズ,ディアダニエル,シュガーバニーズ,シナモロール,クロミ,ジュエルペット,けろけろけろっぴ,けろけろけろっぴ,ジュエルペット,ぐでたま,ハローキティ,yoshikitty,yoshikitty,リトルツインスターズ,クロミ,クロミ,リトルツインスターズ,リトルツインスターズ,ハンギョドン,けろけろけろっぴ,リトルツインスターズ
8位,ハローキティ,ハンギョドン,ハンギョドン,ブラウニーズストーリー,ハローキティ,ハローキティ,ハローキティ,マロンクリーム,ザ ボードビルデュオ,マロンクリーム,シュガークリームパフ,マロンクリーム,マロンクリーム,ポチャッコ,たらいぐまのらんどりー,パティ＆ジミー,パティ＆ジミー,パティ＆ジミー,ポムポムプリン,ウサハナ,シュガーバニーズ,マシュマロみたいなふわふわにゃんこ,ポムポムプリン,パティ＆ジミー,ポチャッコ,チャーミーキティ,クロミ,くすりの福太郎,KIRIMIちゃん.,トライクロニカ,シンガンクリムゾンズ,KIRIMIちゃん.,ぐでたま,yoshikitty,SHOW BY ROCK!!,SHOW BY ROCK!!,ハンギョドン,リトルツインスターズ,ハンギョドン,ハンギョドン
9位,テディ ザ テディ,ハローキティ,ウメ屋雑貨店,ウメ屋雑貨店,タキシードサム,ぽこぽん日記,リトルコットンウッドコテージ,あひるのペックル,ハローキティ,ハニーフィールド,おさるのもんきち,チョコキャット,けろけろけろっぴ,ピンクのこりすピンクルちゃん,ポチャッコ,スウィートコロン,バッドばつ丸,バッドばつ丸,バッドばつ丸,モカ,シナモンエンジェルス,バッドばつ丸,バッドばつ丸,ディアダニエル,タキシードサム,バッドばつ丸,ゴーエクスパンダ,ゴーエクスパンダ,ぼんぼんりぼん,リトルツインスターズ,KIRIMIちゃん.,SHOW BY ROCK!!,SHOW BY ROCK!!,ぐでたま,リトルツインスターズ,タキシードサム,こぎみゅん,タキシードサム,タキシードサム,タキシードサム
10位,コットンテイルズ,フィリックスザキャット,ブラウニーズストーリー,ザ ボードビルデュオ,ブラウニーズストーリー,タキシードサム,ぽこぽん日記,ミスターベアーズドリーム,あひるのペックル,おさるのもんきち,ハニーフィールド,スヌーピー,パタパタペッピー,バッドばつ丸,バッドばつ丸,ちょこぱんだ,ウサハナ,おきがるふれんず,ちびまる,みんなのたあ坊,バッドばつ丸,ポムポムプリン,パティ＆ジミー,ポムポムプリン,チャーミーキティ,ポチャッコ,タキシードサム,クロミ,くすりの福太郎,徒然なる操り霧幻庵,クロミ,ポチャッコ,クロミ,タキシードサム,タキシードサム,こぎみゅん,タキシードサム,バッドばつ丸,リトルツインスターズ,あひるのペックル